site,site_url,agent,category,severity,adjudicator,title,evidence,human_verdict
bikanervala,https://www.bikanervala.com/,marketplace,entity_identity,high,abstain,The organisation is referred to by several conflicting names,"Scanned 3252 characters of extractable text across 3 crawled pages from http://127.0.0.1:9600/ (HTTP 200): 3 spellings of the same organisation occupy the identity slots: ""Create Account"" (og:title, title); ""Create an Account"" (h1); ""Ready to checkout?"" (h1). ""Create Account"" and ""Create an Account""",
cmc-vellore,https://www.cmch-vellore.edu/,marketplace,entity_identity,high,abstain,The organisation is referred to by several conflicting names,"Scanned 41365 characters of extractable text across 4 crawled pages from http://127.0.0.1:9600/ (HTTP 200): 4 spellings of the same organisation occupy the identity slots: ""Christian Medical College Vellore 1210"" (footer copyright); ""Christian Medical College Vellore 1075"" (footer copyright); ""Chris",
cry-india,https://www.cry.org/,marketplace,entity_identity,high,abstain,The organisation is referred to by several conflicting names,"Scanned 59101 characters of extractable text across 4 crawled pages from http://127.0.0.1:9600/ (HTTP 200): 3 spellings of the same organisation occupy the identity slots: ""CRY - Child Rights and You"" (footer copyright); ""Child Rights and You"" (json-ld name); ""Why Children?"" (h1). ""CRY - Child Right",
finolex,https://www.finolex.com/,marketplace,entity_identity,high,abstain,The organisation is referred to by several conflicting names,"Scanned 11810 characters of extractable text across 4 crawled pages from http://127.0.0.1:9600/ (HTTP 200): 3 spellings of the same organisation occupy the identity slots: ""Wires & cables"" (h1, title); ""Finolex Cables"" (body 'Welcome to'); ""Welcome to Finolex Cables"" (title). ""Wires & cables"" and ""F",
ghmc,https://www.ghmc.gov.in/,marketplace,freshness,high,no,Published facts are visibly out of date,"Across 8780 characters of body text, 15 dated claims on http://127.0.0.1:9600/ (HTTP 200) reference 2007-2024, i.e. 2+ years before the current year 2026; the spread covers undated claim x11, pricing x4. Examples: ""pliance System for ECBC Know LRS Status 2015 Apply LRS (HMDA Applied""; ""ification Tow",
goonj,https://goonj.org/,marketplace,entity_identity,high,abstain,The organisation is referred to by several conflicting names,"Scanned 224945 characters of extractable text across 5 crawled pages from http://127.0.0.1:9600/ (HTTP 200): 6 spellings of the same organisation occupy the identity slots: ""Goonj for over"" (body 'division of'); ""Goonj"" (footer copyright, json-ld name, og:site_name); ""Goonj for over a decade"" (body ",
groww,https://groww.in/,marketplace,entity_identity,high,abstain,The organisation is referred to by several conflicting names,"Scanned 81039 characters of extractable text across 4 crawled pages from http://127.0.0.1:9600/ (HTTP 200): 4 spellings of the same organisation occupy the identity slots: ""Intraday Screener"" (og:title, title); ""ETF Screener Online"" (og:title, title); ""ETF Stocks Screener"" (h1); ""Intraday Stocks Scr",
havells,https://www.havells.com/,marketplace,freshness,medium,abstain,Published facts are visibly out of date,"Across 41275 characters of body text, 4 dated claims on http://127.0.0.1:9600/ (HTTP 200) reference 2024-2024, i.e. 2+ years before the current year 2026; the spread covers undated claim x4. Examples: ""are inclusive of all taxes. © Copyright 2024 Havells India Ltd. All r""; ""are inclusive of all taxe",
helpage-india,https://www.helpageindia.org/,marketplace,entity_identity,high,abstain,The organisation is referred to by several conflicting names,"Scanned 11631 characters of extractable text across 4 crawled pages from http://127.0.0.1:9600/ (HTTP 200): 3 spellings of the same organisation occupy the identity slots: ""HelpAge India"" (footer copyright, json-ld name, og:site_name); ""Donate to HelpAge India"" (og:title); ""Get Involved with HelpAge",
iiit-hyderabad,https://www.iiit.ac.in/,marketplace,freshness,high,no,Published facts are visibly out of date,"Across 8399 characters of body text, 10 dated claims on http://127.0.0.1:9600/ (HTTP 200) reference 1998-2024, i.e. 2+ years before the current year 2026; the spread covers undated claim x9, update stamp x1. Examples: ""May 2026 Load More View All Copyright © 2024, International Institute""; ""rabad. A",
linear,https://linear.app/,marketplace,entity_identity,high,abstain,The organisation is referred to by several conflicting names,"Scanned 24172 characters of extractable text across 4 crawled pages from http://127.0.0.1:9600/ (HTTP 200): 3 spellings of the same organisation occupy the identity slots: ""Linear Customers"" (og:title, title); ""Customers"" (h1); ""Linear"" (og:title, title). ""Linear Customers"" and ""Customers"" are 75% s",
manipal-hospitals,https://www.manipalhospitals.com/,marketplace,rendering,high,no,Business-critical content is only present after client-side JavaScript execution,http://127.0.0.1:9600/medical-condition/ (HTTP 200) serves only 2872 characters (374 words) of extractable body text; the element #back-top is empty in the raw HTML and is populated at runtime by inline JavaScript carrying 36633 characters of markup (371 words) across 5 injection sites. The same pat,
