site,site_url,agent,category,severity,adjudicator,title,evidence,human_verdict
barbeque-nation,https://www.barbequenation.com/,specialist,crawlability,critical,no,HTTP 404 Error,GET http://127.0.0.1:38779/webform/barbeque-nation-partnership returned 404.,
barbeque-nation,https://www.barbequenation.com/,vishal,crawlability,medium,no,No accessible XML sitemap,"No valid XML sitemap was found via robots.txt Sitemap directives or the conventional /sitemap.xml path. Without a sitemap, crawlers must rely solely on link discovery, which may miss important pages.",
barbeque-nation,https://www.barbequenation.com/,vishal,crawlability,high,no,Site does not use HTTPS,The target URL http://127.0.0.1:38779/ uses HTTP instead of HTTPS. AI systems and search engines strongly prefer HTTPS sites. Lack of HTTPS reduces trust signals and may cause content to be deprioritised or flagged as insecure.,
barbeque-nation,https://www.barbequenation.com/,vishal,crawlability,medium,no,Canonical points to a different URL,"http://127.0.0.1:38779/ has <link rel='canonical' href='https://www.barbequenation.com'> which resolves to https://www.barbequenation.com, different from the fetched URL http://127.0.0.1:38779/. Crawlers may skip this page in favour of the canonical target.",
barbeque-nation,https://www.barbequenation.com/,vishal,crawlability,medium,no,Content embedded in iframes,http://127.0.0.1:38779/ contains 1 <iframe> element(s). Content inside iframes is loaded from a separate URL and is typically invisible to crawlers processing the parent page's HTML.,
bharat-forge,https://www.bharatforge.com/,specialist,crawlability,critical,no,HTTP 404 Error,GET http://127.0.0.1:41623/assets/pdf/media/CCI_Form_III_(A4)-18.03.25-C-2024-10-1197.pdf returned 404.,
bharat-forge,https://www.bharatforge.com/,vishal,crawlability,medium,no,No accessible XML sitemap,"No valid XML sitemap was found via robots.txt Sitemap directives or the conventional /sitemap.xml path. Without a sitemap, crawlers must rely solely on link discovery, which may miss important pages.",
bharat-forge,https://www.bharatforge.com/,vishal,crawlability,high,no,Site does not use HTTPS,The target URL http://127.0.0.1:41623/ uses HTTP instead of HTTPS. AI systems and search engines strongly prefer HTTPS sites. Lack of HTTPS reduces trust signals and may cause content to be deprioritised or flagged as insecure.,
bharat-forge,https://www.bharatforge.com/,vishal,crawlability,medium,no,Canonical points to a different URL,"http://127.0.0.1:41623/ has <link rel='canonical' href='https://www.bharatforge.com'> which resolves to https://www.bharatforge.com, different from the fetched URL http://127.0.0.1:41623/. Crawlers may skip this page in favour of the canonical target.",
bharat-forge,https://www.bharatforge.com/,vishal,crawlability,medium,no,Content embedded in iframes,http://127.0.0.1:41623/ contains 3 <iframe> element(s). Content inside iframes is loaded from a separate URL and is typically invisible to crawlers processing the parent page's HTML.,
bikanervala,https://www.bikanervala.com/,specialist,crawlability,critical,no,HTTP 404 Error,GET http://127.0.0.1:33555/customer_authentication/redirect?locale=en®ion_country=IN returned 404.,
