site,site_url,agent,category,severity,adjudicator,title,evidence,human_verdict
cii,https://www.cii.in/,vishal,entity_identity,high,abstain,Missing page title,http://127.0.0.1:37703/ has no <title> tag or it is empty. AI systems rely on the title to determine the page topic and entity.,
cii,https://www.cii.in/,vishal,rendering,high,abstain,No machine-readable structured data,"http://127.0.0.1:37703/ has no JSON-LD scripts and no OpenGraph tags. Without structured data, AI systems must infer entity facts from unstructured text, which is error-prone.",
cii,https://www.cii.in/,vishal,rendering,high,abstain,No sameAs links for entity disambiguation,"No page in the sampled set contains JSON-LD 'sameAs' links pointing to authoritative external profiles (Wikipedia, Wikidata, LinkedIn, Crunchbase, social media accounts). AI assistants use sameAs to confirm entity identity and avoid confusing the brand with similarly-named entities. Without these li",
cii,https://www.cii.in/,vishal,other,high,abstain,Missing H1 heading,http://127.0.0.1:37703/ has no <h1> tag. Visitors arriving from an AI answer cannot quickly confirm the page is relevant to their question.,
cii,https://www.cii.in/,vishal,other,high,abstain,No semantic headings at all,http://127.0.0.1:37703/ contains zero heading tags (h1–h6). The page lacks any structural cues for scanning.,
cii,https://www.cii.in/,vishal,other,high,abstain,Critically thin word count,http://127.0.0.1:37703/ contains only ~0 words of visible text. Pages with very little text provide minimal substance for AI retrieval and are unlikely to satisfy user queries.,
cii,https://www.cii.in/,vishal,entity_identity,high,abstain,No sameAs links — brand cannot be disambiguated by AI,"The homepage JSON-LD contains no 'sameAs' property linking to external authoritative profiles. AI assistants (ChatGPT, Gemini, Perplexity, etc.) use sameAs to anchor the brand entity to known external databases, preventing confusion with similarly-named entities. Without sameAs, the brand is at high",
cii,https://www.cii.in/,vishal,content_extraction,high,abstain,Low content quotability — few concrete facts for AI to cite,"1 of 1 sampled pages (1 without quotable facts: http://127.0.0.1:37703/) contain no machine-extractable facts: no numbers, percentages, dates, prices, or direct definitional statements. AI assistants (Appendix B) cite pages by directly quoting specific facts. Pages with only vague marketing language",
cii,https://www.cii.in/,vishal,entity_identity,high,abstain,No Organization/Brand JSON-LD schema on homepage,"The homepage has no Organization, Corporation, or LocalBusiness JSON-LD schema. This is the primary way to tell AI systems who the brand is, what it does, and how to identify it uniquely. Without this, AI assistants must guess the entity from unstructured text, leading to errors and omissions (Appen",
cii,https://www.cii.in/,vishal,other,medium,abstain,Missing meta description,http://127.0.0.1:37703/ has no <meta name='description'>. AI systems and search engines use this to understand page content at a glance.,
cii,https://www.cii.in/,vishal,other,medium,abstain,Very little informational text,http://127.0.0.1:37703/ contains only 0 <p> element(s). A first-time visitor may not find enough context to understand what the page offers.,
cii,https://www.cii.in/,vishal,rendering,medium,abstain,Missing viewport meta tag,"http://127.0.0.1:37703/ does not include <meta name='viewport'>. The page may not render well on mobile devices, harming engagement for mobile users arriving from AI answers.",
cii,https://www.cii.in/,vishal,other,medium,abstain,Missing lang attribute on <html> element,"http://127.0.0.1:37703/ has no lang attribute on the <html> tag (e.g., lang='en'). AI systems and screen readers use the lang attribute to correctly interpret content. It also enables hreflang to work correctly for international visitors.",
cii,https://www.cii.in/,vishal,entity_identity,medium,abstain,"No press, media, or external mention links","The homepage contains no links to press coverage, media mentions, reviews, awards, or 'as seen in' content. AI systems assess brand credibility by cross-referencing mentions across independent sources (Appendix D: agreement across the web). A brand that only describes itself, without pointing to ind",
cii,https://www.cii.in/,vishal,entity_identity,medium,abstain,No contact information on homepage,"The homepage contains no phone number or email address in visible text. When users ask AI assistants for contact information about a brand, the assistant needs this data in directly readable text on a page it can access and cite. If contact info is only in an image or behind a contact form, it canno",
