site,site_url,agent,category,severity,adjudicator,title,evidence,human_verdict
cii,https://www.cii.in/,vishal,other,low,abstain,Site does not use HTTPS,The target URL http://127.0.0.1:35803/ uses HTTP instead of HTTPS. AI systems and search engines strongly prefer HTTPS sites. Lack of HTTPS reduces trust signals and may cause content to be deprioritised or flagged as insecure.,
bhel,https://www.bhel.com/,vishal,crawlability,low,no,No accessible XML sitemap,"No valid XML sitemap was found via robots.txt Sitemap directives or the conventional /sitemap.xml path. Without a sitemap, crawlers must rely solely on link discovery, which may miss important pages.",
bhel,https://www.bhel.com/,vishal,other,low,abstain,Site does not use HTTPS,The target URL http://127.0.0.1:38441/ uses HTTP instead of HTTPS. AI systems and search engines strongly prefer HTTPS sites. Lack of HTTPS reduces trust signals and may cause content to be deprioritised or flagged as insecure.,
bhel,https://www.bhel.com/,vishal,crawlability,medium,no,Canonical points to a different URL,"http://127.0.0.1:38441/ has <link rel='canonical' href='http://www.bhel.com/'> which resolves to http://www.bhel.com/, different from the fetched URL http://127.0.0.1:38441/. Crawlers may skip this page in favour of the canonical target.",
bhel,https://www.bhel.com/,vishal,rendering,medium,no,Significant hidden text content in raw HTML,"http://127.0.0.1:38441/ contains ~389 characters of text hidden inside elements (1 with 'display:none', 14 with 'aria-hidden=true'). If important factual information is inside these elements, it may be inaccessible to crawlers and AI retrieval systems that process only visible content. Sample hidden",
bhel,https://www.bhel.com/,vishal,crawlability,medium,no,Content embedded in iframes,http://127.0.0.1:38441/ contains 11 <iframe> element(s). Content inside iframes is loaded from a separate URL and is typically invisible to crawlers processing the parent page's HTML.,
bhel,https://www.bhel.com/,vishal,structured_data,high,no,Missing Structured Data (JSON-LD),http://127.0.0.1:38441/ does not contain any JSON-LD structured data. This makes it harder for AI to extract entities.,
barbeque-nation,https://www.barbequenation.com/,vishal,crawlability,low,no,No accessible XML sitemap,"No valid XML sitemap was found via robots.txt Sitemap directives or the conventional /sitemap.xml path. Without a sitemap, crawlers must rely solely on link discovery, which may miss important pages.",
barbeque-nation,https://www.barbequenation.com/,vishal,other,low,abstain,Site does not use HTTPS,The target URL http://127.0.0.1:44543/ uses HTTP instead of HTTPS. AI systems and search engines strongly prefer HTTPS sites. Lack of HTTPS reduces trust signals and may cause content to be deprioritised or flagged as insecure.,
barbeque-nation,https://www.barbequenation.com/,vishal,crawlability,medium,no,Canonical points to a different URL,"http://127.0.0.1:44543/ has <link rel='canonical' href='https://www.barbequenation.com'> which resolves to https://www.barbequenation.com, different from the fetched URL http://127.0.0.1:44543/. Crawlers may skip this page in favour of the canonical target.",
barbeque-nation,https://www.barbequenation.com/,vishal,crawlability,medium,no,Content embedded in iframes,http://127.0.0.1:44543/ contains 1 <iframe> element(s). Content inside iframes is loaded from a separate URL and is typically invisible to crawlers processing the parent page's HTML.,
